,stop_number,stop_address
1057,6125,"Balbutcher Lane, Poppintree Terrace"
1058,7092,"Balbutcher Lane, Dolmen Court"
1059,110,"Balbutcher Lane, Balcurris Gardens"
1067,116,"Griffith Avenue, Griffith Lawns"
1068,117,"Griffith Avenue, Courtlands"
1069,118,"Griffith Avenue, Sherkin Gardens"
1081,270,"O'Connell St, Cathedral Street"
1082,335,"D'Olier Street, D'Olier House"
1083,4521,"College Green, Trinity College"
1084,1935,"Lord Edward St, Carnegie Centre"
1085,1937,"High Street, Winetavern Street"
1086,1938,"Thomas Street, Francis Street"
1087,1939,"Thomas Street, Bridgefoot Street"
1088,1940,"James Street, Watling Street"
1089,1941,"James Street, Steeven's Lane"
1090,1942,"James Street, St. James Hospital"
1091,1943,"Mount Brown, O'Reilly Avenue"
1092,1944,"Old Kilmainham, Prospect Terrace"
1093,1945,"Emmet Road, Luby Road"
1094,1946,"Emmet Road, Bulfin Road"
1095,1947,"Emmet Road, Camac Close"
1096,1948,"Tyrconnell Rd, St James's Place"
1097,1949,"Tyrconnell Rd, Tyrconnell Park"
1098,1950,"Tyrconnell Rd, Oblates Church"
1099,1951,"Naas Road, Luas Blackhorse"
1100,1952,"Naas Road, Lansdowne Valley"
1101,1953,"Naas Road, Luas Bluebell"
1102,1954,"Naas Road, Muirfield Drive"
1103,1955,"Naas Road, Carriglea I.E."
1104,1956,"Naas Road, Luas Kylemore"
1105,1957,"Naas Road, Robin Hood Road"
1106,1958,"Naas Road, Long Mile Road"
1107,1959,"Naas Road, Club Road"
1108,1960,"Naas Road, Red Cow Hotel"
1109,4379,"Naas Road, Luas Red Cow"
1110,1963,"Woodford Hill, Woodford Rise"
1111,4549,"Woodford Hill, Woodford Drive"
1112,1964,"Woodford Wk, Woodford Avenue"
1113,4674,"Woodford Wk, Yellow Meadows Drive"
1114,4663,"Watery Lane, Castlepark Rd"
1115,4664,"Watery Lane, Monastery Road"
1116,2160,"Convent Road, Moyle Crescent"
1117,2161,"Convent Road, Church"
1118,4665,"Convent Road, St. Anthony's Avenue"
1119,4666,"Fonthill Rd, Boot Road"
1120,4667,"Fonthill Rd, St. John's"
1121,4668,"Fonthill Rd, Cherrywood Avenue"
1122,4677,"Bawnogue Road, Alphine Heights"
1123,2136,"Bawnogue Road, Church"
1124,2137,"Bawnogue Road, Lindisfarne"
1125,7201,"Bawnogue Road, Lockview Road"
1126,2138,"Lockview Rd, Lindisfarne Drive"
1127,2139,"Lockview Rd, Melrose"
1128,2140,"Lockview Rd, Deansrath Grove"
1129,2141,"Deansrath, Deansrath Road"
1130,2142,"Deansrath, Kilmahuddrick"
1131,2143,"Deansrath, Grange View"
1132,2145,"Deansrath, St. Ronan's Church"
1133,4670,"Deansrath, Nangor Road"
1134,2165,"Nangor Road, Rath Gael"
1135,2166,"Nangor Road, Castlegrange"
1136,4545,"Grange Castle, Nangor Rd."
1137,4552,"Grange Castle, Business Park"
1138,4554,"Grange Castle, Pfizer"
1139,7229,"Grange Castle, Business Park"
1319,7230,"Grange Castle, Cuisine de France"
1649,4617,"Grange Castle, Pfizer"
1650,4555,"Grange Castle, Nangor Rd Entrance"
1651,4576,"Grange Castle, Nangor Rd."
1652,3418,"Nangor Road, Castlegrange"
1653,3419,"Nangor Road, Rath Gael"
1654,2374,"Deansrath, Castlegrange"
1655,2146,"Deansrath, Old Castle Drive"
1656,2147,"Deansrath, Kilmahuddrick Ave"
1657,2148,"Deansrath, Kilcronan Court"
1658,2149,"Lockview Rd, Roundabout"
1659,2150,"Lockview Rd, Melrose"
1660,2151,"Lockview Rd, Lindisfarne Drive"
1661,2152,"Bawnogue Road, Ashwood"
1662,2153,"Bawnogue Road, Lealand Road"
1663,2154,"Bawnogue Road, Alpine Heights"
1664,6245,"New Nangor Road, Bawnogue Road"
1665,4671,"Fonthill Rd, Cherrywood Avenue"
1666,4672,"Fonthill Rd, St. John's"
1667,3465,"Convent Road, St. Anthony's Avenue"
1668,4673,"Convent Road, Boot Road"
1669,2172,"Convent Road, Moyle Park College"
1670,2159,"Orchard Road, Garda Station"
1671,4409,"Orchard Road, Watery Lane"
1672,4550,"Watery Lane, Riversdale"
1673,4551,"Woodford Wk, Yellow Meadows Drive"
1674,1965,"Woodford Wk, Woodford Grove"
1675,1966,"Woodford Hill, Woodford Court"
1676,1975,"Monastery Rd, Naas Road"
1677,1977,"Naas Road, Red Cow Hotel"
1678,1978,"Naas Road, Robin Hood Ind Est"
1679,1980,"Naas Road, John F. Kennedy Drive"
1680,1981,"Naas Road, Luas Kylemore"
1681,1982,"Naas Road, Kylemore Road"
1682,4406,"Naas Road, Carriglea I.E."
