stop_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1894,39,,,,,,,,,,,,,,,,,,,,,,
1895,39,239,,,,,,,,,,,,,,,,,,,,,
1896,239,39,,,,,,,,,,,,,,,,,,,,,
1897,39,239,,,,,,,,,,,,,,,,,,,,,
1898,39,39A,,,,,,,,,,,,,,,,,,,,,
1899,39A,39,,,,,,,,,,,,,,,,,,,,,
1902,39,220,,,,,,,,,,,,,,,,,,,,,
1903,220,39,,,,,,,,,,,,,,,,,,,,,
1904,39,220,,,,,,,,,,,,,,,,,,,,,
1905,38,38A,39,39A,38B,38D,70,,,,,,,,,,,,,,,,
1906,70,39A,39,39X,,,,,,,,,,,,,,,,,,,
1907,39,39A,70,,,,,,,,,,,,,,,,,,,,
1908,70,39A,39,,,,,,,,,,,,,,,,,,,,
1909,39,39A,39X,70,,,,,,,,,,,,,,,,,,,
1911,70,39X,39A,39,37,,,,,,,,,,,,,,,,,,
1912,239,39,,,,,,,,,,,,,,,,,,,,,
1913,39,39A,70,,,,,,,,,,,,,,,,,,,,
1914,70,39A,39,,,,,,,,,,,,,,,,,,,,
1934,77A,49,151,150,123,54A,56A,27,,,,,,,,,,,,,,,
1935,13,123,40,747,,,,,,,,,,,,,,,,,,,
1937,747,40,123,13,,,,,,,,,,,,,,,,,,,
1938,13,123,40,,,,,,,,,,,,,,,,,,,,
1939,40,123,13,,,,,,,,,,,,,,,,,,,,
1940,13,123,40,,,,,,,,,,,,,,,,,,,,
1941,40,123,13,,,,,,,,,,,,,,,,,,,,
1942,13,40,,,,,,,,,,,,,,,,,,,,,
1943,40,13,,,,,,,,,,,,,,,,,,,,,
1944,13,40,,,,,,,,,,,,,,,,,,,,,
1945,40,13,,,,,,,,,,,,,,,,,,,,,
1946,13,68,40,,,,,,,,,,,,,,,,,,,,
1947,40,68,13,,,,,,,,,,,,,,,,,,,,
1948,13,68,69,,,,,,,,,,,,,,,,,,,,
1949,69,68,13,,,,,,,,,,,,,,,,,,,,
1950,13,68,69,,,,,,,,,,,,,,,,,,,,
1951,69,68,13,,,,,,,,,,,,,,,,,,,,
1952,13,68,69,,,,,,,,,,,,,,,,,,,,
1953,69,68,13,,,,,,,,,,,,,,,,,,,,
1954,13,68,69,,,,,,,,,,,,,,,,,,,,
1955,69,68,13,,,,,,,,,,,,,,,,,,,,
1956,13,68,69,69X,,,,,,,,,,,,,,,,,,,
1957,69,68,13,,,,,,,,,,,,,,,,,,,,
1958,13,68,69,,,,,,,,,,,,,,,,,,,,
1959,69,68,13,,,,,,,,,,,,,,,,,,,,
1960,13,68,69,,,,,,,,,,,,,,,,,,,,
1963,13,,,,,,,,,,,,,,,,,,,,,,
1964,13,,,,,,,,,,,,,,,,,,,,,,
1965,13,51D,,,,,,,,,,,,,,,,,,,,,
1966,51D,13,,,,,,,,,,,,,,,,,,,,,
1968,69,68,,,,,,,,,,,,,,,,,,,,,
1969,68,69,,,,,,,,,,,,,,,,,,,,,
1970,69,68,,,,,,,,,,,,,,,,,,,,,
1971,68,69,,,,,,,,,,,,,,,,,,,,,
1972,69,68,51X,,,,,,,,,,,,,,,,,,,,
1973,51X,68,69,,,,,,,,,,,,,,,,,,,,
1974,69,68,51X,,,,,,,,,,,,,,,,,,,,
1975,51X,13,68,69,,,,,,,,,,,,,,,,,,,
1977,69,68,13,,,,,,,,,,,,,,,,,,,,
1978,13,68,69,,,,,,,,,,,,,,,,,,,,
1980,69,68,13,,,,,,,,,,,,,,,,,,,,
1981,13,68,69,,,,,,,,,,,,,,,,,,,,
1982,68,13,51X,69X,,,,,,,,,,,,,,,,,,,
1984,13,68,69,,,,,,,,,,,,,,,,,,,,
1985,69,68,13,,,,,,,,,,,,,,,,,,,,
1986,13,68,69,,,,,,,,,,,,,,,,,,,,
1987,69,68X,68,13,,,,,,,,,,,,,,,,,,,
1988,13,68,69,,,,,,,,,,,,,,,,,,,,
